plate,owner,phone,class_vehicle,province,registration_date,id_card
TH-67-88,Mai Thị L,829182416,Xe chuyên dụng,Cao Bằng,28/07/2023,52140309575
TH-24-47,Nguyễn Thị GG,776732939,Xe chuyên dụng,Ninh Thuận,21/09/2020,14025357757
57-T3.9167,Vũ Thị F,976538448,Xe máy,Lâm Đồng,05/05/2021,35864337048
62R-5350,Lê Thị YY,887612222,Ô tô tải,Bà Rịa - Vũng Tàu,28/05/2024,49839499441
76M-26000,Đỗ Thị J,934580222,Xe bán tải,Cà Mau,03/06/2022,25243562545
65C-1176,Phạm Thị D,993520642,Ô tô khách,Tiền Giang,03/01/2025,48123974780
31E-38769,Hồ Văn DD,906896386,Ô tô tải,Hải Phòng,23/07/2025,62882015240
52R-70638,Lê Thị YY,761832770,Ô tô con,Bình Thuận,18/12/2024,10480729564
23Y-32123,Đỗ Văn Z,373695916,Ô tô tải,Sơn La,21/05/2023,47315282396
31E-1696,Mai Thị L,887749239,Ô tô khách,Hải Phòng,05/07/2024,56639887893
TH-19-52,Nguyễn Thị GG,391879780,Xe chuyên dụng,Lào Cai,17/05/2024,70735402467
24V-7927,Bùi Thị H,792390727,Ô tô con,Hòa Bình,22/06/2024,48854287799
74E-8348,Phan Thị P,815796659,Xe bán tải,Sóc Trăng,19/12/2023,47752300016
46Q-9149,Võ Thị EE,947572506,Ô tô tải,Quảng Nam,13/05/2024,37936381140
28V-6829,Hoàng Văn E,961357872,Ô tô khách,Phú Thọ,06/03/2022,27851151519
54F-5591,Lý Thị AA,911842180,Ô tô khách,Gia Lai,18/03/2021,51414683414
56Y-51055,Mai Thị L,855584848,Ô tô khách,Đắk Nông,22/09/2025,26120013900
21X-85002,Ngô Văn I,392266670,Xe bán tải,Phú Thọ,23/06/2024,62035927548
TH-53-37,Nguyễn Văn Q,911509811,Xe chuyên dụng,Đắk Lắk,07/05/2021,8790278826
TH-42-11,Phan Thị P,914901663,Xe chuyên dụng,Cà Mau,29/06/2022,33028750489
45N-30447,Bùi Thị H,360684086,Ô tô tải,Đà Nẵng,25/09/2022,34433411107
50-U8.4766,Lý Thị QQ,963463306,Xe máy,Khánh Hòa,11/02/2025,70593577582
42M-91842,Đặng Văn G,810423680,Xe bán tải,Quảng Bình,02/09/2023,12774320838
31M-6985,Lê Văn C,826261809,Ô tô khách,Hải Phòng,20/12/2021,77246189384
26R-1194,Phạm Văn JJ,903330218,Ô tô khách,Lạng Sơn,22/11/2022,49425548148
21M-8712,Phạm Văn T,914901663,Ô tô tải,Phú Thọ,26/11/2022,58252604604
17C-79715,Trần Văn XX,865856068,Ô tô con,Tuyên Quang,20/06/2024,60648273623
14V-5420,Phan Văn FF,368344867,Ô tô con,Cao Bằng,17/11/2024,77491403851
58B-5815,Trần Thị B,885003859,Ô tô khách,Bình Phước,18/05/2025,46524124614
76O-79452,Lý Thị QQ,368344867,Xe bán tải,Cà Mau,16/09/2025,27994922501
37V-97157,Lê Thị II,946673883,Ô tô con,Ninh Bình,04/11/2020,17688319832
34C-5875,Lê Thị YY,376340456,Ô tô khách,Thái Bình,17/10/2022,37515364940
17Z-1677,Bùi Văn X,364108430,Ô tô con,Tuyên Quang,14/08/2023,52236301235
